13.55, 1.95
13.55, 9.25

13.55, 9.25
5.95, 10.35

5.95, 10.35
6.00, 10.35
6.05, 10.35
6.10, 10.35
6.15, 10.35
6.20, 10.35
6.25, 10.35
6.30, 10.35
6.35, 10.35
6.40, 10.35
6.45, 10.35
6.50, 10.35
6.55, 10.35
6.60, 10.35
6.65, 10.35
6.70, 10.35
6.75, 10.35
6.80, 10.40
6.85, 10.45

6.95, 10.55
6.95, 10.50
6.95, 10.45
6.95, 10.40
6.95, 10.35
6.95, 10.30
6.95, 10.25
6.95, 10.20
6.95, 10.15
6.95, 10.10
6.95, 10.05
6.95, 10.00
6.95, 9.95
6.95, 9.90
6.95, 9.85
6.95, 9.80
6.95, 9.75
6.95, 9.70
6.95, 9.65
6.90, 9.60
6.85, 9.55
6.80, 9.50
6.75, 9.45
6.70, 9.40
6.65, 9.35
6.60, 9.30
6.55, 9.25
6.50, 9.20
6.45, 9.15
6.40, 9.10
6.35, 9.05
6.30, 9.00
6.25, 8.95
6.20, 8.90
6.15, 8.85
6.10, 8.80
6.05, 8.75
6.00, 8.70
5.95, 8.65

5.95, 8.50
1.80, 8.45

1.80, 8.45
1.75, 8.45
1.70, 8.45
1.65, 8.45
1.60, 8.45
1.55, 8.45
1.50, 8.40
1.45, 8.35
1.40, 8.30
1.35, 8.25
1.30, 8.20
1.25, 8.15
1.20, 8.10
1.15, 8.05
1.10, 8.00
1.05, 7.95
1.00, 7.90
0.95, 7.85
0.95, 7.80
0.95, 7.75
0.95, 7.70
0.95, 7.65
0.95, 7.60
0.95, 7.55
0.95, 7.50
0.95, 7.45
0.95, 7.40
0.95, 7.35
0.95, 7.30
0.95, 7.25
0.95, 7.20
0.95, 7.15
0.95, 7.10
0.95, 7.05
0.95, 7.00
0.95, 6.95
0.95, 6.90
0.95, 6.85
0.95, 6.80
0.95, 6.75
0.95, 6.70
0.95, 6.65
0.95, 6.60
0.95, 6.55
0.95, 6.50
0.95, 6.45
0.95, 6.40
0.95, 6.35
0.95, 6.30
0.95, 6.25
0.95, 6.20
1.00, 6.15
1.05, 6.10
1.10, 6.05
1.15, 6.00
1.20, 5.95
1.25, 5.90
1.30, 5.85
1.35, 5.80
1.40, 5.75
1.45, 5.70
1.50, 5.65
1.55, 5.60
1.60, 5.55
1.65, 5.50

1.80, 5.50
13.55, 1.95

